id,title,promo_price,city,price,url
3092803,Конструктор LEGO DUPLO Town Грузовой поезд (10875),13 789 ₽,Санкт-Петербург и Ленинградская область,12 399 ₽,https://www.detmir.ru/product/index/id/3092803/
3187781,Конструктор LEGO Minecraft Шахта крипера 21155,8 989 ₽,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3187781/
3226557,Конструктор LEGO DUPLO Classic Коробка с кубиками большая 10914,5 389 ₽,Санкт-Петербург и Ленинградская область,4 499 ₽,https://www.detmir.ru/product/index/id/3226557/
3405527,Конструктор LEGO DUPLO My First Поезд для животных 10955,1 909 ₽,Санкт-Петербург и Ленинградская область,1 509 ₽,https://www.detmir.ru/product/index/id/3405527/
3244472,Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор 10931,2 109 ₽,Санкт-Петербург и Ленинградская область,1 889 ₽,https://www.detmir.ru/product/index/id/3244472/
3596761,Конструктор LEGO DUPLO Town Самолет и аэропорт 10961,2 989 ₽,Санкт-Петербург и Ленинградская область,1 999 ₽,https://www.detmir.ru/product/index/id/3596761/
3475284,Конструктор LEGO City Торговая улица 60306,7 189 ₽,Санкт-Петербург и Ленинградская область,5 999 ₽,https://www.detmir.ru/product/index/id/3475284/
3244569,Конструктор LEGO Super Mario Приключения вместе с Марио 71360,5 989 ₽,Санкт-Петербург и Ленинградская область,4 779 ₽,https://www.detmir.ru/product/index/id/3244569/
3200884,Конструктор LEGO Technic Land Rover Defender 42110,20 389 ₽,Санкт-Петербург и Ленинградская область,16 999 ₽,https://www.detmir.ru/product/index/id/3200884/
3620624,Конструктор LEGO Friends Серферский дом на берегу 41693,7 789 ₽,Санкт-Петербург и Ленинградская область,6 699 ₽,https://www.detmir.ru/product/index/id/3620624/
3018843,Конструктор LEGO BOOST Набор для конструирования и программирования (17101),16 789 ₽,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3018843/
3596844,Конструктор LEGO Technic Ford F-150 Raptor 42126,16 789 ₽,Санкт-Петербург и Ленинградская область,10 639 ₽,https://www.detmir.ru/product/index/id/3596844/
3596758,Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать 10954,1 789 ₽,Санкт-Петербург и Ленинградская область,1 299 ₽,https://www.detmir.ru/product/index/id/3596758/
3405639,Конструктор LEGO Minecraft Дом-свинья 21170,5 629 ₽,Санкт-Петербург и Ленинградская область,,https://www.detmir.ru/product/index/id/3405639/
3596755,Конструктор LEGO DUPLO Town Семейное приключение на микроавтобусе 10946,2 989 ₽,Санкт-Петербург и Ленинградская область,2 149 ₽,https://www.detmir.ru/product/index/id/3596755/
3596790,Конструктор LEGO Friends Киоск на Волшебной ярмарке 41687,3 109 ₽,Санкт-Петербург и Ленинградская область,1 999 ₽,https://www.detmir.ru/product/index/id/3596790/
3596786,Конструктор LEGO Friends Волшебная акробатика 41686,2 029 ₽,Санкт-Петербург и Ленинградская область,1 799 ₽,https://www.detmir.ru/product/index/id/3596786/
3596883,Конструктор LEGO City Парк каскадёров 60293,2 989 ₽,Санкт-Петербург и Ленинградская область,2 299 ₽,https://www.detmir.ru/product/index/id/3596883/
